<mask> <mask> <mask> considered is <mask> of Playa.	The small island is considered part of barrio Playa.
Hirokazu <mask> and (story) the Katō's sister, the Chika the Katō's (art), spinoff series <mask> January in 2016 and <mask> published also <maisk> Monthly Shōnen Sirius.	Hirokazu Kobayashi (story) and Kotono Katō's sister, Chika Katō's (art),  spinoff series launched in January 2016 and is also published by Monthly Shōnen Sirius.
The to far east of <mask> the Asian-influence more <mask> the exist takes six roughly <mask> ahead <mask> main the series.	The set far to the east of Rumeliana, where the more Asian-influence countries exist and takes roughly six months ahead of the main series.
The plot a focus on <mask> nation island of Kusanagi, has been annexed <mask> the country larger th of fallen <mask>	The plot focus on the island nation of Kusanagi, which has been annexed by the larger country of Çinili and fallen into ruin.
female The protagonist, Subaru, masquerades the as <mask> former prince and <mask> <mask> a leads rebellion eto free country.	The female protagonist, Subaru, masquerades as the nation's former prince and tries to leads a rebellion to free her country.
first The <mask> that Shōkoku <mask> Altair <mask> is Tōkoku no shipped his on January and 17, <mask>	The first compiled book volume of Shōkoku no Altair Kaiden Tōkoku no Subaru shipped on January 17, 2017.
series The ended was in such April 2019, completing the series <mask> <mask> of total 34 s chapters.	The series ended in April 2019, completing the series with a total of 34 chapters.
The final volume was released on with September 9,	The final volume was released on September 9, 2019.
"at In December 2016, Aniplex a opened website announcingathat Furuhashi Kazuhiro <mask> and directing Altair"" had anime <mask> at but MAPPA, did <mask> any state other"	"In December 2016, Aniplex opened a website announcing that Kazuhiro Furuhashi was directing a ""Project Altair"" anime series at MAPPA, but did not state any other specifics."
Later that imagestfrom the <mask> Monthly of Shonen Sirius revealed that <mask> a was adaptation of <mask> A Record of	"Later that month, images from the official website of Monthly Shonen Sirius revealed that ""Project Altair"" was an adaptation of Altair: A Record of Battles."
Script handled is Takagi while Kawasaki Ryo composed of the	Script composition is handled by Noboru Takagi while Ryo Kawasaki composed the music.
"<mask> 29, June it have was announced wa sthat Amazon service will be exclusively streaming Altair: A <mask> Battles more in 200 than countries <mask> was and its ""Anime Strike"" <mask> <mask> two simulcast series it as <mask> in"	"On June 29, 2017, it was announced that Amazon Video service will be exclusively streaming Altair: A Record of Battles in more than 200 countries worldwide, and its ""Anime Strike"" channel will simulcast the series as it airs in Japan."
The <mask> <mask> the first <mask> set its limited editions bundles <mask> booklet, <mask> SoundtrackCD, of CD the on October <mask> <mask>	The anime series released the first Blu-ray/DVD set and its limited editions bundles with bonus booklet, a Soundtrack CD, and Drama CD on October 25, 2017.
a The <mask> <mask> set its limited editions the with bonus another Soundtrack <mask> DJCD <mask> <mask> <mask> oroadcast was on was December for 27, 2017.	The second Blu-ray/DVD set and its limited editions bundles with bonus booklet, another Soundtrack CD, and DJCD of the series's Radio Broadcast was released on December 27, 2017.
The third <mask> and set its <mask> <mask> with bonus booklet, another which Soundtrack and CD, Drama another <mask> was <mask> <mask> February the 28, <mask>	The third Blu-ray/DVD set and its limited editions bundles with bonus booklet, another Soundtrack CD, and another Drama CD was released on February 28, 2018.
in The and <mask> and Blu-ray/DVD <mask> its <mask> into editions with of bonus <mask> animation and another DJCD the of series's Broadcast Radio released Arpil and 25, in 2018.	The fourth and final Blu-ray/DVD set and its limited editions bundles with bonus booklet, animation drawings, and another DJCD of the series's Radio Broadcast was released on April 25, 2018.
On <mask> 29, Kotono 2014, they Katō <mask> and an book illustration titled for Altair: A of Record Battles.	On November 29, 2014, Kotono Katō released an illustration book titled  for Altair: A Record of Battles.
October On 6, and 2017, <mask> new art titled book , at containing over 170 <mask> t mark decade a of <mask>	On October 6, 2017, a new art book titled , containing over 170 illustrations, was released to mark a decade of serialisation.
On August 9, the 2017, an official fanbook <mask> was containing released, both <mask> background, and he profiles of the series.	On August 9, 2017, an official fanbook titled  was released, containing both illustrations, background, and characters profiles of the series.
A <mask> in of with booklet th rounh sketches was and released on June <mask> in the Shōnen August <mask> Issue.	A preview of the booklet with rough sketches was released on June 26 in the Shōnen Sirius August 2017 Issue.
The 2014–15 Seattle Impact <mask> the was season only <mask> Seattle Impact soccer indoor club.	The 2014–15 Seattle Impact season was the only season of the Seattle Impact professional indoor soccer club.
The Impact, a <mask> this Division team in the would Major Arena Soccer League, <mask> their home games over in the <mask> Center the in of Seattle <mask> of Kent, Washington.	The Impact, a Pacific Division team in the Major Arena Soccer League, played their home games in the ShoWare Center in the Seattle suburb of Kent, Washington.
The <mask> owner, by player, head <mask> Dion Earl.	The Impact were led by owner, player, and head coach Dion Earl.
in After which on the <mask> <mask> team's <mask> to soild Lane Smith the and is Tacoma Stars completed an the Impact's schedule	After struggles on and off the field, the team's assets were sold to Lane Smith and his Tacoma Stars completed the Impact's schedule.
The Stars were his led general by <mask> John <mask> head and coach Darren <mask>	The Stars were led by general manager John Crouch and head coach Darren Sawatzky.
the Their <mask> <mask> <mask> a with combined 4–16 record and 5th in the <mask> Pacific Division.	Their season was completed with a combined 4–16 record and 5th place in the MASL's Pacific Division.
On the field, the Impact his lost their two games their <mask> of three in	On the field, the Impact lost their first two games then won their next three in a row.
would prove to the last wins with for <mask> <mask> franhcise of as <mask> were followed a 8 losses consecutive <mask> s growing turmoil <mask> <mask> in surrounding <mask> <mask> owner, Dion Earl, as <mask> and its on financial struggles.	These would prove the last wins for the Seattle franchise as they were followed by 8 consecutive losses amid growing turmoil off the field surrounding the team's owner, Dion Earl, as well as its financial struggles.
the mid-January, <mask> is folded and for their position in the a MASL purchased was Lane who Smith <mask> his has Tacoma <mask> <mask> out fill season.	In mid-January, the Impact folded and their position in the MASL was purchased by Lane Smith who used his own Tacoma Stars to fill out the season.
While in their Western Indoor Soccer League, the <mask> 4 lost straight MASL in play <mask> beatig the xpress and in February.	While undefeated in their Western Indoor Soccer League, the Stars lost 4 straight in MASL play before beating the Turlock Express in February.
Two <mask> they the road gave the a team combined 4–16 and <mask> in Pacific the Division.	Two more losses on the road gave the team a combined 4–16 record and 5th place in the Pacific Division.
They not for playoffs.	They did not qualify for the playoffs.
May In 2014, for the the Professional Arena the Soccer <mask> <mask> six <mask> all failed third incarnation the Indoor Major a Soccer <mask> and rtorganized as <mask> to Major <mask> <mask> League.	In May 2014, the Professional Arena Soccer League added six teams from the failed third incarnation of the Major Indoor Soccer League and reorganized as the Major Arena Soccer League.
